Production_Hours,Workforce_Size,Machine_Efficiency,Raw_Materials_Cost,Maintenance_Hours,Shift_Hours,Total_Production,Production Type,Production Line,Supplier,Date,Production_Volume_Per_Hour,Timestamp_Hour,Department,Equipment_Age_Category,Shift_Category,Project_Complexity,Quality_Risk_Level,Energy_Efficiency_Level,Production_Flexibility,Supply_Chain_Resilience
-0.9,-0.01,-0.5,-0.41,-0.4,-0.57,-4.31, Industrial Equipment,Line D,EuroTrade Supplies,31/07/2023,-25.02,22,Maintenance,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.2,-1.13,-1.72,-1.64,-1.46,-1.66,-8.42, Electronics,Line A,GlobalTech Components,24/05/2023,76.12,8,Maintenance,Old,Low,Simple,Low,Low_Consumption,Rigid,Low
-0.4,-0.92,-0.81,0.02,0.42,0.32,-2.79, Electronics,Line A,Quantum Resource Group,23/12/2023,-8.88,11,Logistics,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.15,0.59,1.4,0.73,1.32,0.87,3.2, Electronics,Line A,NorthStar Manufacturing,03/01/2023,4.75,15,Logistics,New,High,Moderate,High,High_Consumption,Moderate,Medium
0.68,0.6,0.05,0.46,0.7,0.56,2.11, Precision Components,Line E,Advanced Materials Inc.,11/09/2023,0.76,3,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
1.33,0.73,0.87,-0.01,0.23,0.25,4.29, Industrial Equipment,Line D,EuroTrade Supplies,01/12/2023,0.92,4,Production,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.64,-0.61,-0.55,-0.17,0.1,0.69,-1.51, Electronics,Line A,TechCore Suppliers,13/09/2023,-7.23,7,Production,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.42,-0.29,-0.35,0.34,0.17,0.36,-2.29, Automotive Parts,Line B,GlobalTech Components,08/04/2023,-1.93,0,Maintenance,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.85,-0.86,-0.29,0.07,0.08,-0.11,0.46, Precision Components,Line E,EuroTrade Supplies,22/06/2023,3.36,5,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.43,-0.91,-1.18,-0.94,-1.36,-0.93,-6.23, Consumer Goods,Line C,NorthStar Manufacturing,30/05/2023,-17.59,14,Logistics,Old,Medium,Moderate,Low,Low_Consumption,Moderate,Medium
0.78,-0.04,0.31,0.59,0.17,0.88,2.15, Industrial Equipment,Line D,Quantum Resource Group,06/10/2023,0.72,3,Production,Medium,High,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.45,0.04,0.23,0.31,-0.49,-0.13,1.15, Industrial Equipment,Line D,Advanced Materials Inc.,28/02/2023,0.63,20,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.84,0.55,-0.84,-0.33,-0.17,0.19,0.51, Automotive Parts,Line B,MegaManufacturing Resources,23/04/2023,0.56,10,Logistics,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.79,-0.37,0,-0.25,0.13,0.75,1.57, Consumer Goods,Line C,EuroTrade Supplies,20/11/2023,3.8,4,Quality_Control,Medium,High,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.36,0.73,0.89,1.08,0.84,0.6,4.56, Consumer Goods,Line C,MegaManufacturing Resources,31/08/2023,5.36,17,Production,New,Medium,Complex,Medium,Medium_Consumption,Moderate,High
0.42,0.07,-0.23,-0.52,0.06,-0.32,-2, Precision Components,Line E,Precision Parts Supply,06/11/2023,-0.71,23,Production,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.11,-0.3,-0.39,-0.22,0.03,-0.67,2.51, Industrial Equipment,Line D,Industrial Innovations LLC,26/02/2023,4.51,14,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.04,0.29,0.43,0.18,0.09,0.97,1.96, Electronics,Line A,Apex Industrial Solutions,01/03/2023,3.27,17,Logistics,New,High,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.09,-0.46,-0.94,0.21,-0.57,0.22,-1.43, Automotive Parts,Line B,Industrial Innovations LLC,25/11/2023,-1.18,19,Production,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.48,-0.12,0.43,0.16,-0.22,0.36,2.65, Automotive Parts,Line B,TechCore Suppliers,04/08/2023,2.69,12,Maintenance,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1,-1.4,-0.16,-0.18,-1.08,-0.63,-3.15, Automotive Parts,Line B,Quantum Resource Group,21/08/2023,-2341.45,4,Production,Medium,Medium,Moderate,Medium,Low_Consumption,Rigid,Medium
0.83,0.61,0.83,1.22,1.36,0.68,5.26, Automotive Parts,Line B,Advanced Materials Inc.,24/02/2023,3.44,0,Logistics,New,Medium,Complex,Medium,High_Consumption,Moderate,High
1,1.52,0.42,0.98,1.12,0.9,9.31, Electronics,Line A,MegaManufacturing Resources,27/07/2023,3.25,21,Maintenance,Medium,High,Complex,Medium,Medium_Consumption,Flexible,High
-1.39,-0.67,-1.08,-0.37,-0.24,-0.83,-4.28, Electronics,Line A,NorthStar Manufacturing,04/03/2023,17.62,17,Production,Old,Medium,Moderate,Low,Medium_Consumption,Moderate,Medium
0.48,-0.51,-0.38,-0.42,-0.49,-0.1,-1.73, Precision Components,Line E,MegaManufacturing Resources,03/07/2023,-1.64,13,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.05,-0.07,-0.4,-0.52,-0.22,-0.13,-0.94, Industrial Equipment,Line D,Quantum Resource Group,07/11/2023,-0.5,4,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.43,-1.53,-2.35,-1.57,-1.75,-1.8,-6.7, Electronics,Line A,NorthStar Manufacturing,08/10/2023,17.04,5,Production,Old,Low,Simple,Low,Low_Consumption,Rigid,Low
-1.58,-1.17,-0.85,-0.63,-1.45,-0.82,-8.01, Precision Components,Line E,NorthStar Manufacturing,26/01/2023,6.91,23,Logistics,Old,Medium,Moderate,Medium,Low_Consumption,Rigid,Medium
0.29,-0.23,0.05,0.32,0.4,0.54,-2.37, Consumer Goods,Line C,TechCore Suppliers,26/06/2023,-3.11,15,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.25,0.22,-0.63,0.38,-0.87,-0.41,-2.35, Industrial Equipment,Line D,Quantum Resource Group,04/03/2023,-2.18,21,Maintenance,Old,Medium,Moderate,Medium,Low_Consumption,Moderate,Medium
-0.74,-0.71,-1.04,-0.38,-0.44,-0.2,-5.81, Electronics,Line A,EuroTrade Supplies,14/03/2023,-17.98,20,Quality_Control,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0,-0.99,-0.59,-0.27,-0.42,-0.38,-2.91, Consumer Goods,Line C,Industrial Innovations LLC,01/12/2023,-5.55,11,Production,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.68,-0.38,-0.32,0.08,0.2,-0.12,-0.1, Precision Components,Line E,Precision Parts Supply,16/06/2023,-0.29,19,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.61,-0.16,0.05,0.18,-0.23,0.43,-1.84, Electronics,Line A,MegaManufacturing Resources,13/08/2023,-7.66,17,Production,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.76,1.06,1.23,2.29,0.71,1.62,3.81, Electronics,Line A,EuroTrade Supplies,06/03/2023,1.73,1,Production,New,High,Complex,High,Medium_Consumption,Flexible,High
-0.43,-0.09,-0.41,-0.34,-0.9,-1.01,-2.53, Consumer Goods,Line C,Precision Parts Supply,10/03/2023,-2.68,22,Logistics,Medium,Medium,Moderate,Medium,Low_Consumption,Moderate,Medium
0.63,0.82,0.94,-0.03,0.65,1.33,5.14, Electronics,Line A,Advanced Materials Inc.,09/01/2023,2.52,20,Logistics,New,High,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.28,-0.63,-0.87,-0.79,-0.13,-0.15,-6.2, Automotive Parts,Line B,Apex Industrial Solutions,24/08/2023,13.45,22,Production,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.95,0.88,0.46,0.42,0.66,0.64,4.76, Electronics,Line A,MegaManufacturing Resources,17/07/2023,3.65,12,Maintenance,New,Medium,Moderate,Medium,Medium_Consumption,Flexible,Medium
-1.4,-1.92,-2.76,-1.94,-2.07,-1.87,-8.41, Industrial Equipment,Line D,TechCore Suppliers,22/06/2023,37.5,16,Maintenance,Old,Low,Simple,Low,Low_Consumption,Rigid,Low
0.46,0.98,0.64,0.9,1.03,0.41,5.32, Consumer Goods,Line C,Precision Parts Supply,09/10/2023,6.57,16,Maintenance,New,Medium,Moderate,Medium,Medium_Consumption,Flexible,Medium
-0.13,0.41,0.72,1.02,0.6,0.01,4.34, Industrial Equipment,Line D,NorthStar Manufacturing,28/01/2023,8.52,15,Quality_Control,New,Medium,Complex,Medium,Medium_Consumption,Moderate,High
-1.27,-1.87,-2.18,-2.56,-2.28,-1.67,-5.8, Precision Components,Line E,EuroTrade Supplies,23/10/2023,17.3,20,Production,Old,Low,Simple,Low,Low_Consumption,Rigid,Low
0.1,-0.31,-1.03,-0.36,0.29,-1.16,-2.74, Industrial Equipment,Line D,Industrial Innovations LLC,14/05/2023,-4.01,17,Logistics,Old,Low,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.18,-0.43,0.87,0.51,0.52,0.09,1.37, Automotive Parts,Line B,TechCore Suppliers,27/01/2023,2.84,7,Quality_Control,New,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.96,-1.65,-1.14,-0.94,-0.98,-1.42,-7.39, Automotive Parts,Line B,MegaManufacturing Resources,07/02/2023,5.4,2,Quality_Control,Old,Low,Moderate,Low,Low_Consumption,Rigid,Medium
-0.31,-0.46,-0.13,0,-0.19,-0.02,-0.9, Industrial Equipment,Line D,Quantum Resource Group,15/07/2023,-2.36,16,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.84,-2.28,-0.62,-1.16,-1.36,-1.65,-4.53, Precision Components,Line E,EuroTrade Supplies,22/07/2023,8.62,17,Production,Old,Low,Simple,Medium,Low_Consumption,Rigid,Low
-0.31,-0.61,-0.37,0.04,-0.14,-0.2,-3.7, Electronics,Line A,TechCore Suppliers,26/03/2023,-3.21,22,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.78,-0.37,-0.04,-0.18,-0.5,-0.13,-3.17, Automotive Parts,Line B,Apex Industrial Solutions,16/11/2023,-16.1,5,Production,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.33,0.85,0.91,0.93,0.84,0.77,6.27, Industrial Equipment,Line D,MegaManufacturing Resources,30/01/2023,8.04,7,Production,New,High,Complex,Medium,Medium_Consumption,Moderate,High
-1.4,-1.42,-1.08,-0.85,-1.24,-1.17,-4.05, Industrial Equipment,Line D,Advanced Materials Inc.,09/04/2023,6.05,22,Production,Old,Low,Moderate,Low,Low_Consumption,Rigid,Medium
-0.74,-0.5,-0.28,-0.94,-1.09,-1.06,-4.45, Industrial Equipment,Line D,Industrial Innovations LLC,09/07/2023,-25.54,12,Logistics,Medium,Medium,Moderate,Medium,Low_Consumption,Moderate,Medium
-0.44,-0.27,-0.56,0.33,-0.48,-0.4,0.02, Electronics,Line A,Advanced Materials Inc.,12/01/2023,0.06,7,Production,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.15,0.92,1.22,1.22,0.91,1.17,5.24, Consumer Goods,Line C,Precision Parts Supply,01/04/2023,5.45,18,Quality_Control,New,High,Complex,High,Medium_Consumption,Flexible,High
-0.19,-0.36,0.25,-0.09,0.04,0.4,2.77, Precision Components,Line E,Quantum Resource Group,30/01/2023,3.76,5,Logistics,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.7,0.51,0.86,1,0.96,0.57,3.93, Consumer Goods,Line C,Precision Parts Supply,01/08/2023,1.38,22,Logistics,New,Medium,Complex,Medium,Medium_Consumption,Moderate,High
-0.32,-0.25,-0.51,-0.36,0.43,-0.37,0.68, Precision Components,Line E,Industrial Innovations LLC,07/02/2023,1.59,14,Quality_Control,Old,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
0.23,1.1,0.67,0.6,0.54,0.88,8.03, Precision Components,Line E,EuroTrade Supplies,07/12/2023,12.43,9,Logistics,New,High,Moderate,Medium,Medium_Consumption,Flexible,Medium
-0.26,-0.24,0.13,-0.14,0.31,0.3,1.17, Industrial Equipment,Line D,Precision Parts Supply,01/03/2023,2.85,16,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-0.05,0.01,-0.47,-0.81,-0.89,-0.67,-2.3, Automotive Parts,Line B,Quantum Resource Group,21/10/2023,-2.92,0,Maintenance,Old,Medium,Moderate,Medium,Low_Consumption,Moderate,Medium
-0.07,-0.46,-0.09,-0.11,-0.29,-0.23,0.28, Industrial Equipment,Line D,GlobalTech Components,26/12/2023,0.44,6,Quality_Control,Medium,Medium,Moderate,Medium,Medium_Consumption,Moderate,Medium
-1.26,-1.27,-0.5,-1.42,-1.86,-1.8,-7.32, Electronics,Line A,GlobalTech Components,23/05/2023,41.85,12,Logistics,Old,Low,Simple,Medium,Low_Consumption,Rigid,Low
-1.94,-2.44,-2.45,-1.93,-1.32,-2.18,-5.83, Precision Components,Line E,TechCore Suppliers,29/06/2023,4.33,2,Quality_Control,Old,Low,Simple,Low,Low_Consumption,Rigid,Low
0.3,1.36,0.7,0.51,0.54,0.85,3.8, Automotive Parts,Line B,TechCore Suppliers,12/10/2023,3.52,18,Maintenance,New,High,Moderate,Medium,Medium_Consumption,Flexible,Medium
